id,age,sex,household_type,housing_type,economic_status,health_status,mobility_difficulty,digital_literacy,social_contact,current_service_use
SC001,78,F,독거,임대,낮음,보통,중간,낮음,낮음,경로식당
SC002,69,M,부부,자가,보통,좋음,낮음,보통,높음,
SC003,83,F,독거,임대,낮음,나쁨,높음,낮음,낮음,식사배달|방문건강관리
SC004,71,F,부부,자가,보통,보통,낮음,보통,보통,
SC005,88,M,독거,임대,낮음,나쁨,높음,낮음,낮음,노인맞춤돌봄
SC006,66,F,자녀동거,자가,높음,좋음,낮음,높음,높음,
SC007,75,M,부부,자가,보통,보통,중간,낮음,보통,경로당
SC008,80,F,독거,임대,낮음,나쁨,높음,낮음,중간,식사배달
SC009,68,F,부부,임대,보통,좋음,낮음,보통,높음,
SC010,92,F,자녀동거,자가,보통,나쁨,높음,낮음,보통,장기요양
